,date,turnover,weekday,temperature,is_holiday
1217,2014-02-23,430.500089196343,Sunday,8.625,0.0
1147,2014-02-09,365.729264338809,Sunday,6.7125,0.0
3040,2015-02-22,329.636553747233,Sunday,5.25,0.0
4878,2016-02-21,320.052214571435,Sunday,6.875,0.0
1550,2014-05-05,293.109398326081,Monday,10.7125,0.0
1182,2014-02-16,286.001635626433,Sunday,6.0625,0.0
2970,2015-02-08,256.535701898324,Sunday,3.375,0.0
1112,2014-02-02,237.893596916681,Sunday,5.4875,0.0
6515,2017-01-15,230.136726609361,Sunday,1.375,0.0
4838,2016-02-13,224.433711584056,Saturday,2.0,0.0
5292,2016-05-16,221.377548769257,Monday,11.25,1.0
4843,2016-02-14,220.15722489461,Sunday,2.875,0.0
2960,2015-02-06,219.523814146721,Friday,-0.5,0.0
6935,2017-04-09,219.280741698519,Sunday,16.0,0.0
6725,2017-02-26,219.070489867947,Sunday,7.5,0.0
2935,2015-02-01,214.869292194541,Sunday,-0.25,0.0
4873,2016-02-20,213.898160134037,Saturday,6.0,0.0
4828,2016-02-11,213.646592245021,Thursday,5.25,0.0
4793,2016-02-04,212.954763467956,Thursday,4.25,0.0
4443,2015-11-29,209.166880819323,Sunday,8.25,0.0
8656,2018-03-18,209.019623528428,Sunday,-0.825,0.0
3110,2015-03-08,205.57099280524,Sunday,14.0,0.0
2865,2015-01-18,204.693311193378,Sunday,2.0,0.0
6480,2017-01-08,204.632350244358,Sunday,2.25,0.0
1077,2014-01-26,201.191517525166,Sunday,-8.475,0.0
1177,2014-02-15,198.394939954409,Saturday,11.5,0.0
3005,2015-02-15,197.39238538863,Sunday,3.125,0.0
7540,2017-08-11,192.905985979155,Friday,16.375,0.0
4803,2016-02-06,192.27769908181,Saturday,9.375,0.0
5929,2016-09-25,191.100179090963,Sunday,21.375,0.0
3000,2015-02-14,190.148450615832,Saturday,1.625,0.0
1491,2014-04-20,189.548617602604,Sunday,13.875,0.0
5112,2016-04-10,188.227432737985,Sunday,10.875,0.0
7920,2017-10-29,188.060080793949,Sunday,9.9,0.0
1007,2014-01-12,187.466582265489,Sunday,5.525,0.0
8411,2018-01-28,186.614734681636,Sunday,7.6625,0.0
588,2013-10-27,186.537638448479,Sunday,14.9875,0.0
6795,2017-03-12,185.780111123125,Sunday,6.375,0.0
1167,2014-02-13,185.345507160016,Thursday,7.45,0.0
6585,2017-01-29,182.721053036135,Sunday,4.75,0.0
410,2013-09-22,181.071825652617,Sunday,17.1375,0.0
6183,2016-11-13,180.570460709882,Sunday,1.375,0.0
7155,2017-05-25,178.507311972289,Thursday,18.875,1.0
1287,2014-03-09,178.017374804103,Sunday,16.4,0.0
7585,2017-08-20,177.591810776184,Sunday,16.0125,0.0
4853,2016-02-16,177.333347977201,Tuesday,2.125,0.0
712,2013-11-17,177.087584201101,Sunday,8.8875,0.0
2900,2015-01-25,176.90180258166,Sunday,2.875,0.0
670,2013-11-10,176.522124121548,Sunday,6.9875,0.0
5969,2016-10-03,175.777025560835,Monday,14.375,1.0
941,2013-12-29,175.489183127665,Sunday,5.7125,0.0
754,2013-11-24,175.128357778932,Sunday,4.6,0.0
5724,2016-08-13,174.56607234021,Saturday,18.125,0.0
1172,2014-02-14,174.557054369197,Friday,5.2125,0.0
2128,2014-08-31,173.204821790261,Sunday,16.375,0.0
4783,2016-02-02,173.19490154443,Tuesday,7.5,0.0
8621,2018-03-11,172.938112248343,Sunday,11.475,0.0
7210,2017-06-05,172.589776003415,Monday,20.125,1.0
8376,2018-01-21,171.52657521436,Sunday,-0.6125,0.0
3448,2015-05-17,171.465540571901,Sunday,12.625,0.0
7550,2017-08-13,171.364541630665,Sunday,17.825,0.0
3279,2015-04-12,170.691265230574,Sunday,12.375,0.0
4808,2016-02-07,170.642257444849,Sunday,9.75,0.0
4798,2016-02-05,169.87129717056,Friday,4.5,0.0
2334,2014-10-12,169.310379668465,Sunday,15.125,0.0
3373,2015-05-02,168.464543906289,Saturday,11.0,0.0
3413,2015-05-10,168.202423789623,Sunday,12.75,0.0
7100,2017-05-14,165.787943714285,Sunday,18.75,0.0
4527,2015-12-13,164.858981263781,Sunday,5.25,0.0
6655,2017-02-12,164.72696827433,Sunday,0.375,0.0
7725,2017-09-17,164.495712817907,Sunday,15.25,0.0
4247,2015-10-25,164.465398484012,Sunday,12.25,0.0
2995,2015-02-13,164.114000189702,Friday,1.25,0.0
6965,2017-04-16,163.798968606753,Sunday,6.875,0.0
6690,2017-02-19,161.686427026824,Sunday,5.625,0.0
2405,2014-10-26,161.676201511044,Sunday,12.75,0.0
1042,2014-01-19,161.394205203827,Sunday,2.8625,0.0
5217,2016-05-01,160.657021441659,Sunday,10.75,1.0
3482,2015-05-24,160.036018067072,Sunday,14.375,0.0
6900,2017-04-02,158.564600534337,Sunday,13.375,0.0
6309,2016-12-04,158.468179526554,Sunday,4.125,0.0
5461,2016-06-19,157.876050195996,Sunday,16.0,0.0
6615,2017-02-04,156.145828217114,Saturday,5.75,0.0
5714,2016-08-11,156.030512564163,Thursday,13.875,0.0
4913,2016-02-28,155.879471819037,Sunday,3.5,0.0
2569,2014-11-23,155.339006239265,Sunday,6.75,0.0
8039,2017-11-19,154.383032558196,Sunday,6.25,0.0
4818,2016-02-09,153.905138423558,Tuesday,6.75,0.0
2093,2014-08-24,153.573168857594,Sunday,16.3125,0.0
2300,2014-10-05,153.449384381621,Sunday,16.25,0.0
4863,2016-02-18,153.394623375255,Thursday,1.875,0.0
1117,2014-02-03,152.956273429037,Monday,3.475,0.0
1142,2014-02-08,152.794657636639,Saturday,6.2875,0.0
4868,2016-02-19,152.787510282685,Friday,3.25,0.0
1669,2014-05-29,152.709702945456,Thursday,12.7,1.0
