,Datum,Wettercode,original_wettercode,numeric_wettercode,is_empty,is_null
38,2018-09-08,,,,False,True
39,2018-09-09,,,,False,True
45,2018-09-15,,,,False,True
46,2018-09-16,,,,False,True
47,2018-09-17,,,,False,True
48,2018-09-18,,,,False,True
49,2018-09-19,,,,False,True
50,2018-09-20,,,,False,True
73,2018-10-13,,,,False,True
74,2018-10-14,,,,False,True
80,2018-10-20,,,,False,True
81,2018-10-21,,,,False,True
240,2019-04-04,,,,False,True
393,2018-09-08,,,,False,True
394,2018-09-09,,,,False,True
400,2018-09-15,,,,False,True
401,2018-09-16,,,,False,True
402,2018-09-17,,,,False,True
403,2018-09-18,,,,False,True
404,2018-09-19,,,,False,True
405,2018-09-20,,,,False,True
428,2018-10-13,,,,False,True
429,2018-10-14,,,,False,True
435,2018-10-20,,,,False,True
436,2018-10-21,,,,False,True
595,2019-04-04,,,,False,True
748,2018-09-08,,,,False,True
749,2018-09-09,,,,False,True
755,2018-09-15,,,,False,True
756,2018-09-16,,,,False,True
757,2018-09-17,,,,False,True
758,2018-09-18,,,,False,True
759,2018-09-19,,,,False,True
760,2018-09-20,,,,False,True
783,2018-10-13,,,,False,True
784,2018-10-14,,,,False,True
790,2018-10-20,,,,False,True
791,2018-10-21,,,,False,True
950,2019-04-04,,,,False,True
1103,2018-09-08,,,,False,True
1104,2018-09-09,,,,False,True
1110,2018-09-15,,,,False,True
1111,2018-09-16,,,,False,True
1112,2018-09-17,,,,False,True
1113,2018-09-18,,,,False,True
1114,2018-09-19,,,,False,True
1115,2018-09-20,,,,False,True
1138,2018-10-13,,,,False,True
1139,2018-10-14,,,,False,True
1145,2018-10-20,,,,False,True
1146,2018-10-21,,,,False,True
1304,2019-04-04,,,,False,True
1457,2018-09-08,,,,False,True
1458,2018-09-09,,,,False,True
1464,2018-09-15,,,,False,True
1465,2018-09-16,,,,False,True
1466,2018-09-17,,,,False,True
1467,2018-09-18,,,,False,True
1468,2018-09-19,,,,False,True
1469,2018-09-20,,,,False,True
1492,2018-10-13,,,,False,True
1493,2018-10-14,,,,False,True
1499,2018-10-20,,,,False,True
1500,2018-10-21,,,,False,True
1659,2019-04-04,,,,False,True
