Datum,school_holiday_name,is_school_holiday
2013-01-01,Weihnachten,1
2013-01-02,Weihnachten,1
2013-01-03,Weihnachten,1
2013-01-04,Weihnachten,1
2013-01-05,Weihnachten,1
2013-03-25,Ostern,1
2013-03-26,Ostern,1
2013-03-27,Ostern,1
2013-03-28,Ostern,1
2013-03-29,Ostern,1
2013-03-30,Ostern,1
2013-03-31,Ostern,1
2013-04-01,Ostern,1
2013-04-02,Ostern,1
2013-04-03,Ostern,1
2013-04-04,Ostern,1
2013-04-05,Ostern,1
2013-04-06,Ostern,1
2013-04-07,Ostern,1
2013-04-08,Ostern,1
2013-04-09,Ostern,1
2013-05-10,Pfingsten,1
2013-06-24,Sommer,1
2013-06-25,Sommer,1
2013-06-26,Sommer,1
2013-06-27,Sommer,1
2013-06-28,Sommer,1
2013-06-29,Sommer,1
2013-06-30,Sommer,1
2013-07-01,Sommer,1
2013-07-02,Sommer,1
2013-07-03,Sommer,1
2013-07-04,Sommer,1
2013-07-05,Sommer,1
2013-07-06,Sommer,1
2013-07-07,Sommer,1
2013-07-08,Sommer,1
2013-07-09,Sommer,1
2013-07-10,Sommer,1
2013-07-11,Sommer,1
2013-07-12,Sommer,1
2013-07-13,Sommer,1
2013-07-14,Sommer,1
2013-07-15,Sommer,1
2013-07-16,Sommer,1
2013-07-17,Sommer,1
2013-07-18,Sommer,1
2013-07-19,Sommer,1
2013-07-20,Sommer,1
2013-07-21,Sommer,1
2013-07-22,Sommer,1
2013-07-23,Sommer,1
2013-07-24,Sommer,1
2013-07-25,Sommer,1
2013-07-26,Sommer,1
2013-07-27,Sommer,1
2013-07-28,Sommer,1
2013-07-29,Sommer,1
2013-07-30,Sommer,1
2013-07-31,Sommer,1
2013-08-01,Sommer,1
2013-08-02,Sommer,1
2013-08-03,Sommer,1
2013-10-04,Herbst,1
2013-10-05,Herbst,1
2013-10-06,Herbst,1
2013-10-07,Herbst,1
2013-10-08,Herbst,1
2013-10-09,Herbst,1
2013-10-10,Herbst,1
2013-10-11,Herbst,1
2013-10-12,Herbst,1
2013-10-13,Herbst,1
2013-10-14,Herbst,1
2013-10-15,Herbst,1
2013-10-16,Herbst,1
2013-10-17,Herbst,1
2013-10-18,Herbst,1
2013-12-23,Weihnachten,1
2013-12-24,Weihnachten,1
2013-12-25,Weihnachten,1
2013-12-26,Weihnachten,1
2013-12-27,Weihnachten,1
2013-12-28,Weihnachten,1
2013-12-29,Weihnachten,1
2013-12-30,Weihnachten,1
2013-12-31,Weihnachten,1
2014-01-01,Weihnachten,1
2014-01-02,Weihnachten,1
2014-01-03,Weihnachten,1
2014-01-04,Weihnachten,1
2014-01-05,Weihnachten,1
2014-01-06,Weihnachten,1
2014-04-16,Ostern,1
2014-04-17,Ostern,1
2014-04-18,Ostern,1
2014-04-19,Ostern,1
2014-04-20,Ostern,1
2014-04-21,Ostern,1
2014-04-22,Ostern,1
2014-04-23,Ostern,1
2014-04-24,Ostern,1
2014-04-25,Ostern,1
2014-04-26,Ostern,1
2014-04-27,Ostern,1
2014-04-28,Ostern,1
2014-04-29,Ostern,1
2014-04-30,Ostern,1
2014-05-01,Ostern,1
2014-05-02,Ostern,1
2014-05-30,Pfingsten,1
2014-07-14,Sommer,1
2014-07-15,Sommer,1
2014-07-16,Sommer,1
2014-07-17,Sommer,1
2014-07-18,Sommer,1
2014-07-19,Sommer,1
2014-07-20,Sommer,1
2014-07-21,Sommer,1
2014-07-22,Sommer,1
2014-07-23,Sommer,1
2014-07-24,Sommer,1
2014-07-25,Sommer,1
2014-07-26,Sommer,1
2014-07-27,Sommer,1
2014-07-28,Sommer,1
2014-07-29,Sommer,1
2014-07-30,Sommer,1
2014-07-31,Sommer,1
2014-08-01,Sommer,1
2014-08-02,Sommer,1
2014-08-03,Sommer,1
2014-08-04,Sommer,1
2014-08-05,Sommer,1
2014-08-06,Sommer,1
2014-08-07,Sommer,1
2014-08-08,Sommer,1
2014-08-09,Sommer,1
2014-08-10,Sommer,1
2014-08-11,Sommer,1
2014-08-12,Sommer,1
2014-08-13,Sommer,1
2014-08-14,Sommer,1
2014-08-15,Sommer,1
2014-08-16,Sommer,1
2014-08-17,Sommer,1
2014-08-18,Sommer,1
2014-08-19,Sommer,1
2014-08-20,Sommer,1
2014-08-21,Sommer,1
2014-08-22,Sommer,1
2014-08-23,Sommer,1
2014-10-13,Herbst,1
2014-10-14,Herbst,1
2014-10-15,Herbst,1
2014-10-16,Herbst,1
2014-10-17,Herbst,1
2014-10-18,Herbst,1
2014-10-19,Herbst,1
2014-10-20,Herbst,1
2014-10-21,Herbst,1
2014-10-22,Herbst,1
2014-10-23,Herbst,1
2014-10-24,Herbst,1
2014-10-25,Herbst,1
2014-12-22,Weihnachten,1
2014-12-23,Weihnachten,1
2014-12-24,Weihnachten,1
2014-12-25,Weihnachten,1
2014-12-26,Weihnachten,1
2014-12-27,Weihnachten,1
2014-12-28,Weihnachten,1
2014-12-29,Weihnachten,1
2014-12-30,Weihnachten,1
2014-12-31,Weihnachten,1
2015-01-01,Weihnachten,1
2015-01-02,Weihnachten,1
2015-01-03,Weihnachten,1
2015-01-04,Weihnachten,1
2015-01-05,Weihnachten,1
2015-01-06,Weihnachten,1
2015-04-01,Ostern,1
2015-04-02,Ostern,1
2015-04-03,Ostern,1
2015-04-04,Ostern,1
2015-04-05,Ostern,1
2015-04-06,Ostern,1
2015-04-07,Ostern,1
2015-04-08,Ostern,1
2015-04-09,Ostern,1
2015-04-10,Ostern,1
2015-04-11,Ostern,1
2015-04-12,Ostern,1
2015-04-13,Ostern,1
2015-04-14,Ostern,1
